parent,nom,lien,type,descriptionFr,sourceDescriptionFr,lienDescriptionFr,descriptionEn,sourceDescriptionEn,lienDescriptionEn,prix,licence,plateformes,SimilaireA,BaséEn
Outils et pratiques Privacy par LINC,Verrouiller,,titre,,,,,,,,,,,
Verrouiller,Gérer ses mots de passe,,titre,"Caractéristiques ou fonctionnalités mises en avant : constituer une base sécurisée de mot de passe, chiffrer la base de mot de passe, proposer un mot de passe maître, accéder depuis desktop et smartphone",,,,,,,,,,
Gérer ses mots de passe,Ajouter un code pin ou mot de passe à son téléphone et ordinateur,,pratique,Evite que n'importe qui l'ouvre notamment en cas de vol,,,,,,,,,,
Gérer ses mots de passe,Se déconnecter de ses comptes et sessions sur un ordinateur partagé ou accessible,,pratique,,,,,,,,,,,
Gérer ses mots de passe,Utiliser un gestionnaire de mots de passe,,pratique,,,,,,,,,,,
Gérer ses mots de passe,Changer ses mots de passe par défaut,,pratique,,,,,,,,,,,
Gérer ses mots de passe,Ne jamais avoir le même mot de passe ou le décliner,,pratique,,,,,,,,,,,
Gérer ses mots de passe,Eviter certains termes dans les mots de passe,,pratique,"Un mot de passe ne doit pas contenir des éléments ayant rapport avec vous comme votre nom, celui de proches, votre date de naissance, le nom de votre chien. Il en va de même pour des mots comme ""password"" ""mdp"" etc.",,,,,,,,,,
Gérer ses mots de passe,Changer son mot de passe en cas de leak / doute,,pratique,,,,,,,,,,,
Gérer ses mots de passe,Mac Pass,https://macpassapp.org/,outil,,,,,,,Gratuit,Libre,macOS,"LastPass, Dashlane, 1Password, Passwords (Google)",
Gérer ses mots de passe,Keepass,http://keepass.info/,outil,,,,,,,Gratuit,,,"LastPass, Dashlane, 1Password, Google Password Manager, Edge Password Manager",
Gérer ses mots de passe,DashLane,https://www.dashlane.com/,outil,,,,,,,,,,"LastPass, Dashlane, 1Password, Google Password Manager, Edge Password Manager",
Gérer ses mots de passe,Blur,https://www.abine.com/,outil,,,,,,,,,,"LastPass, Dashlane, 1Password, Google Password Manager, Edge Password Manager",
Gérer ses mots de passe,Zeny Pass,https://zenyway.com/password-manager/home/en/index.html,outil,,,,,,,,,,"LastPass, Dashlane, 1Password, Google Password Manager, Edge Password Manager",
Gérer ses mots de passe,KeePassXC,https://keepassxc.org/,outil,,,,,,,,,,"LastPass, Dashlane, 1Password, Google Password Manager, Edge Password Manager",
Gérer ses mots de passe,LessPass,https://www.lesspass.com/#/,outil,,,,,,,,,,"LastPass, Dashlane, 1Password, Google Password Manager, Edge Password Manager",
Verrouiller,Utiliser l’authentification à deux facteurs (2FA),,titre,"Caractéristiques ou fonctionnalités mises en avant : créer une double authentification (par deux mots de passe), créer des mots de passe à la volée et à usage unique, exporter facilement la base de donnée",,,,,,,,,,
Utiliser l’authentification à deux facteurs (2FA),Activer l'authentification à double facteurs (2FA) dans les applications,,pratique,,,,,,,,,,,
Utiliser l’authentification à deux facteurs (2FA),Google Authentificator,https://support.google.com/accounts/answer/1066447?visit_id=0-636265708011731329-3247248277&hl=fr&rd=1,outil,,,,,,,,,,,
Utiliser l’authentification à deux facteurs (2FA),Free OTP,https://freeotp.github.io/,outil,,,,,,,,,,,
Verrouiller,Offline,,titre,"Caractéristiques ou fonctionnalités mises en avant : protéger d’un accès non autorisé sans logiciel, protéger des éléments matériels, protéger des regards indiscrets",,,,,,,,,,
Offline,Pochette anti onde,,outil,,,,,,,Payant,,,,
Offline,Cache caméra,,outil,,,,,,,Payant,,,,
Offline,Cache micro,,outil,,,,,,,Payant,,,,
Offline,Filtre de confidentialité pour écran,,outil,,,,,,,Payant,,,,
Outils et pratiques Privacy par LINC,Contrôler,,titre,,,,,,,,,,,
Contrôler,Auditer le respect de la vie privée,,titre,"Caractéristiques ou fonctionnalités mises en avant : évaluer le niveau de protection annoncé dans les CGU des services, évaluer le respect de la vie privée par les services utilisés, visualiser les autorisations",,,,,,,,,,
Auditer le respect de la vie privée,My Permissions,,outil,,,,,,,,,,,
Auditer le respect de la vie privée,Cookie Viz,,outil,,,,,,,Gratuit,,,,
Auditer le respect de la vie privée,Exodus Privacy,,outil,,,,,,,Gratuit,,,,
Auditer le respect de la vie privée,TOSDR extension,https://tosdr.org/en/downloads,outil,Résume et note les politiques de confidentialité des sites parcourus,,,,,,,,,,
Auditer le respect de la vie privée,TOSDR - Terms Of Services Didn't Read,,outil,,,,,,,Gratuit,,,,
Auditer le respect de la vie privée,OONI Probe,https://ooni.org,outil,,,,,,,Gratuit,Libre,"Windows, macOS, Android, iPhone",,
Auditer le respect de la vie privée,about:protections,about:protections,outil,Visualisation des traqueurs bloqués par Firefox,,,,,,,,,,
Contrôler,Agir sur ses données,,titre,"Caractéristiques ou fonctionnalités mises en avant : outiller la portabilité, gérer ses consentements, relocaliser ses données personnelles, supprimer des accès et des comptes, surveiller les risques de sécurité",,,,,,,,,,
Agir sur ses données,Effectuer une veille sur son nom (par des requêtes),,pratique,,,,,,,,,,,
Agir sur ses données,Surveiller son déréférencement,,pratique,,,,,,,,,,,
Agir sur ses données,Envoyer un courier ou un mail  pour exercer ses droits,,pratique,,,,,,,,,,,
Agir sur ses données,Adresser une plainte à la CNIL,,pratique,,,,,,,,,,,
Agir sur ses données,Désactiver ou supprimer son identifiant publicitaire,https://support.google.com/googleplay/answer/3405269,pratique,,,,,,,,,Android,,
Agir sur ses données,Désactiver la localisation et autres permissions  des applications n'en ayant pas besoin,,pratique,,,,,,,,,,,
Agir sur ses données,Consulter son activité Google,https://myaccount.google.com/intro/activitycontrols,outil,,,,,,,,,,,
Agir sur ses données,Firefox Monitor,https://monitor.firefox.com/,outil,Permet de verifier si une fuite de données connue contient notre adresse mail,,,,,,,,,,
Agir sur ses données,Commandes relatives à l’activité Google,https://myactivity.google.com/more-activity?continue=https%3A%2F%2Fmyactivity.google.com%2Fmyactivity%3Futm_source%3Dmy-activity,outil,,,,,,,,,,,
Agir sur ses données,Désactiver la personnalisation Google avec les données partagées,https://support.google.com/android/answer/11201475?hl=fr,pratique,,,,,,,,,Android,,
Outils et pratiques Privacy par LINC,Comprendre,,titre,,,,,,,,,,,
Comprendre,Le marché des données,,titre,,,,,,,,,,,
Le marché des données,Floodwatch,https://chrome.google.com/webstore/detail/floodwatch/lnnmlfhgefcbnolklnepapefmmobedld,outil,,,,,,,,,,,
Le marché des données,FDVT - Facebook Data Valuation Tool,https://fdvt.org/,outil,,,,,,,,,,,
Comprendre,Les outils de tracking,,titre,Caractéristiques ou fonctionnalités mises en avant : comprendre le tracking et la réidentification en ligne pour agir,,,,,,,,,,
Les outils de tracking,Priceton Web Census,https://webtransparency.cs.princeton.edu/webcensus/,outil,,,,,,,,,,,
Les outils de tracking,CoverYourTracks,https://coveryourtracks.eff.org/,outil,,,,,,,,,,,
Outils et pratiques Privacy par LINC,Travailler,,titre,,,,,,,,,,,
Travailler,Partager un fichier au travail,,titre,"Caractéristiques ou fonctionnalités mises en avant : chiffrer l'envoi de document, définir la durée de conservation en ligne du fichier",,,,,,,,,,
Partager un fichier au travail,Effacer les métadonnées Exif avant de partager une image,,pratique,,,,,,,,,,,
Partager un fichier au travail,Lufi,,outil,Partage temporaire de fichiers,,,,,,,,,"We Transfer, Dropbox",
Partager un fichier au travail,PrivateBin,,outil,Partage temporaire de texte,,,,,,,,,Pastebin,
Partager un fichier au travail,Services des CHATONS,https://alt.framasoft.org/fr/framadrop,outil,,,,,,,,,,,
Partager un fichier au travail,FileZilla,https://filezilla-project.org/,outil,Client FTP,,,,,,Gratuit,Libre,"GNU/Linux, Windows, macOS",,
Partager un fichier au travail,Scrambled-exif,https://gitlab.com/juanitobananas/scrambled-exif,outil,Enleve les metadata exif avant le partage d’une image,,,,,,Gratuit,Libre,Android,,
Travailler,Travailler à plusieurs sur des documents,,titre,"Caractéristiques ou fonctionnalités mises en avant : garder le contrôle sur ses données, chiffrer les documents",,,,,,,,,,
Travailler à plusieurs sur des documents,Etherpad,http://etherpad.org/,outil,,,,,,,,,,"Google Docs, Microsoft Office",
Travailler à plusieurs sur des documents,Framapad,https://framapad.org/,outil,,,,,,,,,,"Google Docs, Microsoft Office",
Travailler à plusieurs sur des documents,Cryptpad,https://cryptpad.fr/,outil,,,,,,,,,,"Google Docs, Microsoft Office",
Travailler à plusieurs sur des documents,Mediawiki,https://www.mediawiki.org/wiki/MediaWiki,outil,,,,,,,,,,,
Travailler à plusieurs sur des documents,CodiMD,https://codimd.math.cnrs.fr/,outil,Ecriture collaborative en Markdown,,,,,,,,,,
Travailler,Travailler seul sur des documents,,titre,"Caractéristiques ou fonctionnalités mises en avant : garder le contrôle sur ses données, travailler en local sans connexion, chiffrer les documents",,,,,,,,,,
Travailler seul sur des documents,PDF Libreon,https://pdf.libreon.fr/,outil,Signature de PDF en ligne,,,,,,,,,Adobe Acrobat Reader,
Travailler seul sur des documents,MuPDF,https://mupdf.com/,outil,,,,,,,Gratuit,Libre,"GNU/Linux, Windows,Android, iPhone, iPad",,
Travailler seul sur des documents,OpenScan,https://github.com/Ethereal-Developers-Inc/OpenScan,outil,,,,,,,,,Android,Evernote,
Travailler seul sur des documents,NAPS2,https://www.naps2.com/,outil,Scan de document vers PDF et autres formats,,,,,,,,"GNU/Linux, Windows",,
Travailler seul sur des documents,Appflowy,https://www.appflowy.io,outil,,,,,,,Gratuit,,,Notion,
Travailler seul sur des documents,PDFsam Basic,https://pdfsam.org/pdfsam-basic/,outil,Manipulations diverses de PDF,,,,,,,,,Adobe Acrobat Reader,
Travailler seul sur des documents,Sumatra PDF,https://www.sumatrapdfreader.org/free-pdf-reader,outil,"Lecteur de PDF, eBook, ePub… pour Windows",,,,,,,,,Adobe Acrobat Reader,
Travailler seul sur des documents,Notepad++,https://notepad-plus-plus.org/,outil,Prise de notes et développement,,,,,,,,,,
Travailler seul sur des documents,GNU Emacs,https://www.gnu.org/software/emacs/,outil,,,,,,,,,,,
Travailler seul sur des documents,VSCodium,https://vscodium.com/,outil,Environnement de développement,,,,,,Gratuit,Libre,"GNU/Linux, Windows, macOS",Visual Studio Code,
Travailler seul sur des documents,Standard Note,https://standardnotes.com/,outil,"Notes chiffrées, verouillées par mot de passe et synchronisables sur smartphone et ordinateur. La version basique ne propose que du texte brut mais les versions payantes permettent d'écrire en Markdown nottament. Réduction de 30% pour les étudiants.",,,,,,Freemium,Libre,"GNU/Linux, Windows, macOS, Android, iOS, Navigateur",,
Travailler seul sur des documents,Joplin,https://joplinapp.org/,outil,,,,,,,,,,,
Travailler seul sur des documents,Spip,https://www.spip.net/fr_rubrique91.html,outil,"Système de publication pour site web fondé sur la création collective, multilingue et facile",,,,,,"Gratuit, Libre, ",,,,
Travailler,Planifier au travail,,titre,,,,,,,,,,,
Planifier au travail,YunoHost,https://yunohost.org/#/,outil,Système d'exploitation pour l'administration d'un serveur auto hebergé,,,,,,,,,,
Planifier au travail,Vikunja,https://vikunja.io/,outil,Application d'organisation avec tâches et tableau kanban de manière collaborative pour la version cloud ou à installer,,,,,,Gratuit,Libre,"GNU/Linux, Windows, macOS","Trello, Monday.com",
Planifier au travail,Nullboard,https://github.com/apankrat/nullboard,outil,"Tableau Kanban et manager de tâches minimaliste, léger et facile à prendre en main, dans un unique fichier HTML",,,,,,Gratuit,Libre,"GNU/Linux, Windows, macOS","Trello, Monday.com",
Planifier au travail,Focalboard,https://www.focalboard.com/,outil,Tableau Kanban et manager de tâches complet collaboratif pour la version cloud ,,,,,,,,,"Trello, Monday.com",
Travailler,Cartographier,,titre,Caractéristiques ou fonctionnalités mises en avant : contribuer à la création de données ouvertes utilisées par des applications respectueuses de la vie privée,,,,,,,,,,
Cartographier,Open Street Map,http://www.openstreetmap.org/,outil,,,,,,,Gratuit,,,,
Travailler,Cartographier (heuristique),,titre,,,,,,,,,,,
Cartographier (heuristique),Framindmap,https://framindmap.org/,outil,,,,,,,Gratuit,,,,
Cartographier (heuristique),FreeMind,http://freemind.sourceforge.net/,outil,,,,,,,Gratuit,,,,
Cartographier (heuristique),Drawio,https://www.diagrams.net/,outil,,,,,,,,,,,
Cartographier (heuristique),IS Designer,https://www.isdesigner.org/,outil,Modélisation graphique et collaborative de diagrammes représentant des systèmes d'information,,,,,,Gratuit,Libre,"GNU/Linux, Windows, macOS",,
Travailler,Organiser une réunion,,titre,,,,,,,,,,,
Organiser une réunion,Framadate,https://framadate.org/,outil,,,,,,,Gratuit,,,,
Organiser une réunion,Jitsi meet,https://jitsi.org/,outil,Visioconférence,,,,,,,,,Zoom,
Travailler,Prendre des inscriptions,,titre,,,,,,,,,,,
Prendre des inscriptions,Framaform,https://framaforms.org/,outil,,,,,,,Gratuit,,,,
Travailler,Créer,,titre,"Caractéristiques ou fonctionnalités mises en avant : travailler ou créer hors connexion, travailler et créer sans compte utilisateur",,,,,,,,,,
Créer,Avidemux2,https://github.com/mean00/avidemux2,outil,Edition simple de videos,,,,,,,,,,
Créer,Audacity,https://audacity.fr/,outil,,,,,,,,,,,
Créer,Openshot,https://www.openshot.org/,outil,Edition de vidéos,,,,,,,,,,
Créer,OBS Studio,https://obsproject.com/,outil,Enregistrement vidéo et streaming en direct,,,,,,,,,,
Créer,Scribus,https://www.scribus.net/,outil,Publication assistée par ordinateur Libre,,,,,,Gratuit,Libre,"GNU/Linux, Windows, macOS",Adobe InDesign,
Créer,VLC,https://www.videolan.org/vlc/,outil,"Lecteur multimédia et système capable de lire la plupart des fichiers multimédia (MP3, MP4, WAV, DVD…)",,,,,,Gratuit,Libre,"GNU/linux, Windows, macOS, Android, iOS",Lecteur Windows Media,
Créer,GIMP,https://www.gimp.org/,outil,Editeur d'images matricielles (et vectorielles ?),,,,,,Gratuit,Libre,"GNU/linux, Windows, macOS, Android, iOS",Adobe Photoshop,
Créer,Synfig Studio,https://www.synfig.org/,outil,Animation 2D d'images matricielles ou svg grace au rigging,,,,,,Gratuit,Libre,"GNU/linux, Windows, macOS, Android, iOS",,
Outils et pratiques Privacy par LINC,Vivre au quotidien,,titre,,,,,,,,,,,
Vivre au quotidien,Planifier,,titre,,,,,,,,,,,
Planifier,Framadate,https://framadate.org/,outil,,,,,,,Gratuit,,,,
Planifier,Jitsi meet,https://jitsi.org/,outil,Visioconférence,,,,,,,,,Zoom,
